Temperature_C;-10,98774208749758
Timestamp;2026-05-17_20-15-26

Time_us;Emitter_V;Receiver_V;Envelope_V
-128,096;0,015;0,00175;0,015786127383521507
-128,06400000000002;0,015;-0,0022500000000000003;0,015399340244494932
-128,032;0,009999999999999998;-0,001;0,014667606459757914
-128,00000000000003;0,004999999999999999;-0,00075;0,013667922210043674
-127,968;0,015;0,0;0,01250074695971528
-127,93600000000002;0,015;-0,001;0,011275300064663728
-127,90400000000002;0,0;-0,00075;0,01009553215204058
-127,87200000000001;0,009999999999999998;-0,00025;0,00904754788056347
-127,84000000000002;0,015;-0,00075;0,008192065094613616
-127,808;-0,020000000000000004;0,0015;0,007561371327921628
-127,77600000000002;-0,020000000000000004;0,0;0,0071600110491641545
-127,744;-0,020000000000000004;-0,0035000000000000005;0,006969206133804811
-127,71200000000002;0,0;-0,00075;0,006953124833366738
-127,68000000000002;0,0;0,00575;0,0070652703388596316
-127,64800000000001;-0,020000000000000004;-0,00825;0,007255157999357786
-127,61600000000001;-0,010000000000000002;-0,0035000000000000005;0,007474338849098299
-127,584;0,015;0,00825;0,007680355863475155
-127,55200000000002;-0,005000000000000001;-0,0022500000000000003;0,00784006153037713
-127,52000000000002;-0,010000000000000002;-0,00725;0,007931528745306142
-127,48800000000001;0,009999999999999998;0,009250000000000001;0,00794445740643709
-127,45600000000002;-0,015;0,0;0,007878892781591736
-127,424;-0,03;-0,00925;0,007745060061487732
-127,39200000000001;0,015;0,00725;0,007559171445199072
-127,36000000000003;-0,005000000000000001;-0,0015000000000000002;0,007339986845672725
-127,32800000000002;0,0;-0,003;0,007107109857129415
-127,29600000000002;-0,025;-0,00025;0,006877019479340173
-127,26400000000001;-0,015;-0,0032500000000000003;0,006661598286221545
-127,23200000000001;-0,010000000000000002;0,0062499999999999995;0,006467342413659291
-127,2;0,009999999999999998;-0,0035000000000000005;0,006295398048065096
-127,168;-0,020000000000000004;-0,0055000000000000005;0,006142833630790781
-127,13600000000002;0,0;0,00375;0,006004785514489978
-127,10400000000001;0,015;-0,00125;0,005875548327020226
-127,07200000000002;-0,04;-0,00475;0,005750138714151867
-127,04;-0,03;0,00475;0,0056253934476622885
-127,00800000000001;-0,025;0,00125;0,005499791371655984
-126,97600000000003;0,004999999999999999;-0,00475;0,005373335161051785
-126,94400000000002;0,009999999999999998;0,001;0,005247429076253871
-126,91200000000002;-0,020000000000000004;0,00025;0,005124315353807595
-126,88000000000001;-0,015;-0,00425;0,005006651376321633
-126,84800000000001;0,004999999999999999;0,003;0,004897723788033793
-126,81600000000003;0,004999999999999999;0,0015;0,004801256915066345
-126,784;0,009999999999999998;-0,0035000000000000005;0,004721094263625996
-126,75200000000002;0,015;0,0015;0,004661099366908382
-126,72000000000001;-0,020000000000000004;-0,00025;0,004624388145917321
-126,68800000000002;0,009999999999999998;-0,0015000000000000002;0,0046124258799586405
-126,656;0,015;0,002;0,004624612050687353
-126,62400000000001;-0,015;-0,00025;0,004657553322107875
-126,59200000000003;0,015;-0,0035000000000000005;0,004704727703590221
-126,56;0,0;0,002;0,004757606673933687
-126,52800000000002;-0,020000000000000004;0,0;0,0048060433647685655
-126,49600000000001;0,0;-0,00625;0,004839798902488843
-126,46400000000001;0,0;0,0022500000000000003;0,0048508180437797505
-126,43200000000003;0,015;0,0022500000000000003;0,004833961043499696
-126,4;0,015;-0,00425;0,004788037881079234
-126,36800000000002;-0,025;0,001;0,00471656097946924
-126,336;0,0;0,0025;0,004626771739973316
-126,30400000000002;-0,020000000000000004;-0,0005;0,004528019452717785
